record_id,suggested_decision,human_final_decision,exclusion_reason,reviewer,review_date
pubmed:34277237:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:19052707:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:12659605:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:26666325:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:37601024:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:27232386:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:10850575:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:17322161:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:24019755:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:38829189:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:28724836:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:32029342:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:23943978:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:21274594:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:30808216:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:37598356:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:27303213:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:27838137:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:27737407:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:35347478:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:36906146:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat; pig,rule_based_classifier_v1,20260603
pubmed:33668681:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat; pig,rule_based_classifier_v1,20260603
pubmed:27588937:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:34508834:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:36745886:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:39077939:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:34774244:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:29264783:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:34959915:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:26463139:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:26150027:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:11195313:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:10435676:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:16357816:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:15133327:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: cat,rule_based_classifier_v1,20260603
pubmed:28879535:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:29562593:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:27539983:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:33461896:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:32533118:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:38606357:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:39836479:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: mice; rat; in vitro,rule_based_classifier_v1,20260603
pubmed:8620732:pubmed_kidney_stone_refined_20260603T125918_598b32ee,include_candidate,,"title/abstract matches population, ingredient, and safety outcome",rule_based_classifier_v1,20260603
pubmed:37761859:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:36645022:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat; cats,rule_based_classifier_v1,20260603
pubmed:35598638:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:37049567:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:26816771:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:16775455:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; rats; cat,rule_based_classifier_v1,20260603
pubmed:29664757:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:29376607:pubmed_kidney_stone_refined_20260603T125918_598b32ee,include_candidate,,"title/abstract matches population, ingredient, and safety outcome",rule_based_classifier_v1,20260603
pubmed:40551736:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:41258546:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:34857184:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:223811:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:35930049:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:33659946:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:33379176:pubmed_kidney_stone_refined_20260603T125918_598b32ee,include_candidate,,"title/abstract matches population, ingredient, and safety outcome",rule_based_classifier_v1,20260603
pubmed:32857334:pubmed_kidney_stone_refined_20260603T125918_598b32ee,include_candidate,,"title/abstract matches population, ingredient, and safety outcome",rule_based_classifier_v1,20260603
pubmed:41348736:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:16775452:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: mice; rat; rats,rule_based_classifier_v1,20260603
pubmed:33910705:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:31718265:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:39346653:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:24910823:pubmed_kidney_stone_refined_20260603T125918_598b32ee,manual_review_low,,partial keyword match only,rule_based_classifier_v1,20260603
pubmed:6765068:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:32990535:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: cat,rule_based_classifier_v1,20260603
pubmed:40353475:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:9429689:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: in vitro,rule_based_classifier_v1,20260603
pubmed:23137489:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:28734988:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: cat,rule_based_classifier_v1,20260603
pubmed:29275531:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: cat; in vitro,rule_based_classifier_v1,20260603
pubmed:7984788:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:10593318:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:31160051:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; rats,rule_based_classifier_v1,20260603
pubmed:38911445:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:30632117:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:35768889:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:30529281:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: cat,rule_based_classifier_v1,20260603
pubmed:26473773:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:38682062:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:31122608:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: cat,rule_based_classifier_v1,20260603
pubmed:35663378:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:38452902:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: mice; rat; cat,rule_based_classifier_v1,20260603
pubmed:33316222:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:7041638:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:28335477:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:38015778:pubmed_kidney_stone_refined_20260603T125918_598b32ee,include_candidate,,"title/abstract matches population, ingredient, and safety outcome",rule_based_classifier_v1,20260603
pubmed:36547746:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; in vitro,rule_based_classifier_v1,20260603
pubmed:25511115:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: cat,rule_based_classifier_v1,20260603
pubmed:15193974:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:9387131:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:37768904:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:29939320:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:32292073:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; rats,rule_based_classifier_v1,20260603
pubmed:14670550:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:10491744:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; rats,rule_based_classifier_v1,20260603
pubmed:38765596:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:25290538:pubmed_kidney_stone_refined_20260603T125918_598b32ee,include_candidate,,"title/abstract matches population, ingredient, and safety outcome",rule_based_classifier_v1,20260603
pubmed:40330359:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:24423361:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:23154110:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:26707509:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:24445125:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:229736:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:30851716:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:41499143:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:36156733:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:29926935:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:31188746:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:36118750:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:41149617:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:31449775:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: mice; rat; cat,rule_based_classifier_v1,20260603
pubmed:30109410:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:15685503:pubmed_kidney_stone_refined_20260603T125918_598b32ee,include_candidate,,"title/abstract matches population, ingredient, and safety outcome",rule_based_classifier_v1,20260603
pubmed:32777848:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:39818292:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:24055557:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
